main_star_n,gap_k,approx_digits,k_mod_6,k_mod_30
52936366478,1122,494,0,12
52936366478,1770,494,0,0
52936366478,2262,494,0,12
52936366478,2940,494,0,0
52936366478,2988,494,0,18
53309481335,3720,495,0,0
53309481335,3780,495,0,0
53309481336,20,495,2,20
53309481336,158,495,2,8
53309481336,350,495,2,20
53309481337,660,495,0,0
53309481337,858,495,0,18
53309481337,1514,495,2,14
53309481337,2064,495,0,24
53309481337,4508,495,2,8
53309481338,1446,495,0,6
53309481338,4958,495,2,8
53632917015,572,495,2,2
53632917015,1922,495,2,2
53632917015,3158,495,2,8
53632917015,3500,495,2,20
53632917016,494,495,2,14
53632917016,644,495,2,14
53632917016,2904,495,0,24
53632917016,3752,495,2,2
53632917016,4874,495,2,14
53632917017,26,495,2,26
53632917017,776,495,2,26
53632917017,1736,495,2,26
53632917017,2006,495,2,26
53632917017,2300,495,2,20
53632917017,2450,495,2,20
53632917017,2894,495,2,14
53632917017,3644,495,2,14
53632917017,4098,495,0,18
53632917018,320,495,2,20
53632917018,1302,495,0,12
53632917018,2136,495,0,6
53967604267,1178,495,2,8
53967604267,2076,495,0,6
53967604267,2084,495,2,14
53967604267,2580,495,0,0
53967604267,2960,495,2,20
53967604267,4338,495,0,18
53967604268,98,495,2,8
53967604268,296,495,2,26
53967604268,602,495,2,2
53967604268,1760,495,2,20
53967604269,3360,495,0,0
53967604269,3398,495,2,8
53967604269,4220,495,2,20
53967604269,4538,495,2,8
53967604270,530,495,2,20
53967604270,1304,495,2,14
53967604270,2060,495,2,20
53967604270,4988,495,2,8
54546717954,2540,495,2,20
54546717954,3110,495,2,20
54546717955,440,495,2,20
54546717955,768,495,0,18
54546717955,2610,495,0,0
54546717955,2948,495,2,8
54546717955,4148,495,2,8
54546717955,4152,495,0,12
54546717955,4160,495,2,20
54546717955,4674,495,0,24
54546717955,4850,495,2,20
54546717956,1238,495,2,8
54546717956,1628,495,2,8
54546717956,2624,495,2,14
54546717956,2630,495,2,20
54546717956,3374,495,2,14
54546717956,3770,495,2,20
54546717957,1976,495,2,26
54546717957,2088,495,0,18
54546717957,4158,495,0,18
54546717957,4208,495,2,8
54546717957,4224,495,0,24
54655842235,600,495,0,0
54655842235,882,495,0,12
54655842235,1950,495,0,0
54655842235,3054,495,0,24
54655842235,3198,495,0,18
54655842235,4548,495,0,18
54655842235,4650,495,0,0
54655842236,840,495,0,0
54655842236,884,495,2,14
54655842236,1220,495,2,20
54655842236,3270,495,0,0
54655842236,4302,495,0,12
54655842236,4538,495,2,8
54655842237,1074,495,0,24
54655842237,1848,495,0,18
54655842237,2168,495,2,8
54655842237,2474,495,2,14
54655842237,2900,495,2,20
54655842237,3390,495,0,0
54655842238,192,495,0,12
54655842238,726,495,0,6
54655842238,756,495,0,6
54655842238,1508,495,2,8
54655842238,2448,495,0,18
54655842238,3662,495,2,2
54655842238,4310,495,2,20
54655842238,4938,495,0,18
54878514797,1620,495,0,0
54878514797,2468,495,2,8
54878514797,2690,495,2,20
54878514797,2904,495,0,24
54878514797,3260,495,2,20
54878514797,4644,495,0,24
54878514798,26,495,2,26
54878514798,1170,495,0,0
54878514798,3992,495,2,2
54878514798,4530,495,0,0
54878514799,564,495,0,24
54878514799,770,495,2,20
54878514799,1290,495,0,0
54878514799,2196,495,0,6
54878514799,2414,495,2,14
54878514799,2600,495,2,20
54878514800,1268,495,2,8
55109556141,14,495,2,14
55109556141,654,495,0,24
55109556141,2964,495,0,24
55109556141,3632,495,2,2
55109556142,1088,495,2,8
55109556142,1230,495,0,0
55109556143,192,495,0,12
55109556143,1098,495,0,18
55109556144,396,495,0,6
55109556144,686,495,2,26
55109556144,2336,495,2,26
55109556144,3750,495,0,0
55204294829,1650,495,0,0
55204294830,1580,495,2,20
55204294830,1908,495,0,18
55204294830,3000,495,0,0
55204294830,4032,495,0,12
55204294831,230,495,2,20
55204294831,368,495,2,8
55204294831,902,495,2,2
55204294831,3870,495,0,0
55204294831,4262,495,2,2
55204294832,1316,495,2,26
55204294832,1838,495,2,8
55204294832,2676,495,0,6
55204294832,3548,495,2,8
55204294832,4154,495,2,14
55204294832,4346,495,2,26
55634252193,102,495,0,12
55634252193,632,495,2,2
55634252193,1896,495,0,6
55634252193,2162,495,2,2
55634252193,2336,495,2,26
55634252193,3882,495,0,12
55634252194,380,495,2,20
55634252194,930,495,0,0
55634252194,1490,495,2,20
55634252194,4160,495,2,20
55634252194,4268,495,2,8
55634252196,308,495,2,8
55634252196,1872,495,0,12
55634252196,2894,495,2,14
55634252196,3450,495,0,0
55634252196,3740,495,2,20
55731389090,1628,495,2,8
55731389090,2228,495,2,8
55731389090,3288,495,0,18
55731389090,3648,495,0,18
55731389090,4430,495,2,20
55731389090,4604,495,2,14
55731389091,728,495,2,8
55731389091,1830,495,0,0
55731389091,3720,495,0,0
55731389092,1026,495,0,6
55731389093,188,495,2,8
55731389093,4230,495,0,0
55731389093,4242,495,0,12
55858815928,1590,496,0,0
55858815928,1962,496,0,12
55858815928,2198,496,2,8
55858815928,2982,496,0,12
55858815928,3072,496,0,12
55858815928,3158,496,2,8
55858815928,3596,496,2,26
55858815929,114,496,0,24
55858815929,356,496,2,26
55858815929,588,496,0,18
55858815929,1136,496,2,26
55858815929,1754,496,2,14
55858815929,1826,496,2,26
55858815929,3278,496,2,8
55858815929,4106,496,2,26
55858815929,4394,496,2,14
55858815930,30,496,0,0
55858815930,2804,496,2,14
55858815930,3204,496,0,24
55858815930,3608,496,2,8
55858815931,1502,496,2,2
55858815931,2298,496,0,18
55858815931,3054,496,0,24
55858815931,3374,496,2,14
55858815931,3414,496,0,24
56592199933,210,496,0,0
56592199933,380,496,2,20
56592199933,1586,496,2,26
56592199933,2376,496,0,6
56592199933,2952,496,0,12
56592199933,3236,496,2,26
56592199933,4556,496,2,26
56592199934,756,496,0,6
56592199934,1484,496,2,14
56592199934,2390,496,2,20
56592199934,2988,496,0,18
56592199934,3218,496,2,8
56592199934,3710,496,2,20
56592199934,4248,496,0,18
56592199934,4326,496,0,6
56592199934,4710,496,0,0
56592199935,258,496,0,18
56592199935,684,496,0,24
56592199935,1130,496,2,20
56592199935,1650,496,0,0
56592199935,2622,496,0,12
56592199935,3780,496,0,0
56592199936,2378,496,2,8
56592199936,3770,496,2,20
56592199936,4632,496,0,12
56665935108,2960,496,2,20
56665935108,3516,496,0,6
56665935108,3848,496,2,8
56665935108,4676,496,2,26
56665935108,4818,496,0,18
56665935108,4820,496,2,20
56665935108,4998,496,0,18
56665935109,104,496,2,14
56665935109,528,496,0,18
56665935109,1164,496,0,24
56665935109,1890,496,0,0
56665935109,3468,496,0,18
56665935109,3504,496,0,24
56665935109,4686,496,0,6
56665935109,4848,496,0,18
56665935110,1244,496,2,14
56665935110,1788,496,0,18
56665935110,2810,496,2,20
56665935110,2930,496,2,20
56665935110,3938,496,2,8
56665935110,4290,496,0,0
56665935110,4310,496,2,20
56665935110,4622,496,2,2
56665935111,258,496,0,18
56665935111,2288,496,2,8
56665935111,3842,496,2,2
56665935111,4040,496,2,20
56868770875,1032,496,0,12
56868770875,1130,496,2,20
56868770875,1368,496,0,18
56868770875,2310,496,0,0
56868770875,2418,496,0,18
56868770875,3302,496,2,2
56868770875,3684,496,0,24
56868770876,1040,496,2,20
56868770876,1790,496,2,20
56868770877,278,496,2,8
56868770877,2448,496,0,18
56868770877,3320,496,2,20
56868770878,866,496,2,26
56868770878,1008,496,0,18
56868770878,1218,496,0,18
56868770878,1812,496,0,12
56868770878,3008,496,2,8
56868770878,3636,496,0,6
56868770878,4170,496,0,0
57155294000,404,496,2,14
57155294000,752,496,2,2
57155294000,1482,496,0,12
57155294000,2198,496,2,8
57155294000,2420,496,2,20
57155294000,2568,496,0,18
57155294000,3122,496,2,2
57155294000,3248,496,2,8
57155294000,4128,496,0,18
57155294001,4730,496,2,20
57155294002,296,496,2,26
57155294002,3558,496,0,18
57155294002,4964,496,2,14
57155294003,356,496,2,26
57155294003,600,496,0,0
57155294003,650,496,2,20
57224113601,230,496,2,20
57224113601,320,496,2,20
57224113601,2354,496,2,14
57224113601,3398,496,2,8
57224113601,4304,496,2,14
57224113601,4500,496,0,0
57224113602,906,496,0,6
57224113602,3720,496,0,0
57224113602,3794,496,2,14
57224113602,4808,496,2,8
57224113603,272,496,2,2
57224113603,608,496,2,8
