main_star_n,digits,num_satellites,min_gap,max_gap,mean_gap
52936366478,494,5,1122,2988,2216.4
53309481335,495,2,3720,3780,3750.0
53309481336,495,3,20,350,176.0
53309481337,495,5,660,4508,1920.8
53309481338,495,2,1446,4958,3202.0
53632917015,495,4,572,3500,2288.0
53632917016,495,5,494,4874,2533.6
53632917017,495,9,26,4098,2214.4
53632917018,495,3,320,2136,1252.7
53967604267,495,6,1178,4338,2536.0
53967604268,495,4,98,1760,689.0
53967604269,495,4,3360,4538,3879.0
53967604270,495,4,530,4988,2220.5
54546717954,495,2,2540,3110,2825.0
54546717955,495,9,440,4850,3194.4
54546717956,495,6,1238,3770,2544.0
54546717957,495,5,1976,4224,3330.8
54655842235,495,7,600,4650,2697.4
54655842236,495,6,840,4538,2509.0
54655842237,495,6,1074,3390,2309.0
54655842238,495,8,192,4938,2317.5
54878514797,495,6,1620,4644,2931.0
54878514798,495,4,26,4530,2429.5
54878514799,495,6,564,2600,1639.0
54878514800,495,1,1268,1268,1268.0
55109556141,495,4,14,3632,1816.0
55109556142,495,2,1088,1230,1159.0
55109556143,495,2,192,1098,645.0
55109556144,495,4,396,3750,1792.0
55204294829,495,1,1650,1650,1650.0
55204294830,495,4,1580,4032,2630.0
55204294831,495,5,230,4262,1926.4
55204294832,495,6,1316,4346,2979.7
55634252193,495,6,102,3882,1835.0
55634252194,495,5,380,4268,2245.6
55634252196,495,5,308,3740,2452.8
55731389090,495,6,1628,4604,3304.3
55731389091,495,3,728,3720,2092.7
55731389092,495,1,1026,1026,1026.0
55731389093,495,3,188,4242,2886.7
55858815928,496,7,1590,3596,2651.1
55858815929,496,9,114,4394,1950.2
55858815930,496,4,30,3608,2411.5
55858815931,496,5,1502,3414,2728.4
56592199933,496,7,210,4556,2185.1
56592199934,496,9,756,4710,3092.2
56592199935,496,6,258,3780,1687.3
56592199936,496,3,2378,4632,3593.3
56665935108,496,7,2960,4998,4233.7
56665935109,496,8,104,4848,2524.0
56665935110,496,8,1244,4622,3241.5
56665935111,496,4,258,4040,2607.0
56868770875,496,7,1032,3684,2177.7
56868770876,496,2,1040,1790,1415.0
56868770877,496,3,278,3320,2015.3
56868770878,496,7,866,4170,2245.4
57155294000,496,9,404,4128,2258.0
57155294001,496,1,4730,4730,4730.0
57155294002,496,3,296,4964,2939.3
57155294003,496,3,356,650,535.3
57224113601,496,6,230,4500,2517.7
57224113602,496,4,906,4808,3307.0
57224113603,496,4,272,4032,2212.0
57224113604,496,5,710,3384,2099.6
57280387847,496,9,266,4926,2869.3
57280387848,496,5,110,4478,2661.2
57280387849,496,3,1436,4274,2710.0
57280387850,496,5,644,4580,1826.8
57348100021,496,6,158,4452,2727.3
57348100022,496,5,210,4338,2531.2
57348100023,496,4,182,3038,1215.0
57348100024,496,7,144,4010,2018.9
57826330641,496,5,1650,4052,2891.2
57826330642,496,6,416,3894,2520.0
57826330643,496,4,2652,4446,3449.0
57826330644,496,5,464,4380,2643.2
57926590477,496,3,2730,4934,4039.3
57926590478,496,4,1038,3402,2281.5
57926590479,496,4,816,3560,1583.5
57926590480,496,7,234,4022,1865.7
58268509646,496,2,1508,1734,1621.0
58268509647,496,5,564,4128,2086.8
58268509648,496,4,228,4850,3362.5
58268509649,496,5,138,3810,2248.4
58796681858,497,2,672,1232,952.0
58796681859,497,3,830,4500,2646.7
58796681860,497,3,2202,4134,3044.7
58796681861,497,10,1080,4932,3572.4
59989205731,497,4,2232,4730,3419.0
59989205732,497,4,446,4868,2382.0
59989205733,497,5,326,3990,2632.8
59989205734,497,3,1454,2340,1961.3
60491176786,497,5,1322,2544,1766.8
60491176787,497,4,278,4236,2612.5
60491176788,497,5,336,3188,1774.0
60491176789,497,7,366,4580,2231.4
60502965982,497,2,764,2474,1619.0
60502965983,497,8,360,4410,2512.2
60502965984,497,1,1496,1496,1496.0
60502965985,497,2,2484,3954,3219.0
60765988778,497,8,68,4508,1988.2
60765988779,497,5,450,3836,2237.2
60765988780,497,3,1694,4524,2819.3
60765988781,497,6,240,4778,2059.3
60773199040,497,6,884,4472,2739.3
60773199041,497,3,1128,3164,1824.7
60773199042,497,4,1536,4820,3276.0
60773199043,497,5,762,4328,2351.6
60876885161,497,3,1554,4818,3450.7
60876885163,497,5,156,3930,1594.8
60876885164,497,4,740,4950,2486.0
61355576466,497,5,14,4964,3091.6
61355576467,497,5,3950,4658,4281.6
61355576468,497,7,698,4622,2716.6
61355576469,497,2,2846,3710,3278.0
62065331901,498,3,2798,4890,3562.7
62065331902,498,6,576,3638,2222.0
62065331903,498,9,216,4770,2562.2
62065331904,498,4,1530,3816,2492.5
62769188085,498,8,728,4520,2241.2
62769188086,498,5,774,4878,2308.4
62769188087,498,6,324,3960,1777.0
62769188088,498,4,1122,3140,1739.5
62975874937,498,3,936,2946,2016.7
62975874938,498,8,1010,4538,3500.8
62975874939,498,3,174,4434,2894.0
62975874940,498,1,590,590,590.0
63150957868,498,1,2118,2118,2118.0
63150957869,498,6,210,4746,2232.3
63150957870,498,5,440,4094,2275.2
63150957871,498,4,614,3698,1806.5
63290715485,498,2,1784,2520,2152.0
63290715486,498,9,822,4988,2921.6
63290715487,498,5,1080,4526,3249.2
63290715488,498,4,908,4800,2479.5
63600609254,498,6,1230,4338,2743.3
63600609255,498,2,2478,4248,3363.0
63600609256,498,5,860,4928,2632.4
63600609257,498,5,996,1820,1376.4
64316222569,498,2,2004,3096,2550.0
64316222570,498,9,1368,4874,3275.3
64316222571,498,5,810,4974,3261.2
64316222572,498,4,900,2496,1716.5
64482563907,498,3,1590,3806,2610.7
64482563908,498,10,560,4448,2345.2
64482563909,498,8,516,4686,1841.0
64482563910,498,2,2330,2330,2330.0
64482563911,498,2,962,2334,1648.0
64722592379,498,2,3366,3830,3598.0
64722592380,498,2,3804,4388,4096.0
64722592381,498,4,1884,4722,3141.0
64722592382,498,5,254,4898,3164.0
65020173993,499,4,2300,3020,2771.0
65020173994,499,4,2730,4674,3819.0
65020173995,499,7,338,4808,1939.7
65020173996,499,7,1290,4848,2638.6
65576910525,499,3,1178,3720,2406.7
65576910526,499,3,408,4650,2438.7
65576910527,499,5,390,2708,1533.2
65576910528,499,7,212,4358,1981.4
65809731485,499,4,312,3128,1876.0
65809731486,499,1,4584,4584,4584.0
65809731487,499,4,2930,4896,3712.0
65809731488,499,7,168,4940,1902.6
65824739709,499,3,2310,4164,3534.0
65824739710,499,7,1824,4520,3004.3
65824739711,499,1,804,804,804.0
65824739712,499,5,426,3894,2969.6
66398952664,499,6,20,4986,1582.3
66398952665,499,6,488,4934,3165.0
66398952666,499,2,2234,4104,3169.0
66398952667,499,8,210,4076,1742.8
66483948761,499,7,110,4988,2300.0
66483948762,499,2,150,3864,2007.0
66483948763,499,2,18,3822,1920.0
66483948764,499,3,1544,3830,2713.3
66699239736,499,3,464,3222,1976.7
66699239737,499,6,1098,4566,2900.3
66699239738,499,3,3006,4836,4176.0
66699239739,499,7,98,4916,3442.6
66708084075,499,14,992,4820,2914.0
66708084076,499,5,608,4202,2385.2
66708084077,499,5,2786,4038,3409.2
66708084078,499,1,2318,2318,2318.0
66782549246,499,3,630,4820,2532.7
66782549247,499,5,84,2606,1350.4
66782549248,499,5,1446,3110,1871.6
66782549249,499,5,258,2964,1324.0
66954115822,499,3,1304,1754,1591.3
66954115823,499,4,212,4370,2520.0
66954115824,499,3,558,3978,2754.7
66954115825,499,8,278,4782,2855.2
67078621554,499,3,2534,4350,3490.7
67078621555,499,9,192,4710,2021.1
67078621556,499,6,312,3648,1592.3
67078621557,499,9,168,4074,1630.0
67745481054,499,3,1976,4430,3533.3
67745481055,499,3,480,4368,2846.7
67745481056,499,4,1958,3098,2613.5
67745481057,499,3,1764,3596,2693.3
67937064659,499,5,1124,3330,1921.2
67937064660,499,3,1628,3948,2811.3
67937064661,499,6,570,4860,2627.7
67937064662,499,2,816,1290,1053.0
68822406273,500,4,216,4946,2906.0
68822406274,500,4,116,4496,2556.0
68822406275,500,5,1970,4638,3641.2
68875255095,500,3,1362,4422,3278.7
68875255096,500,3,2130,3710,3036.7
68875255097,500,4,884,2394,1637.0
68875255098,500,3,1586,4890,3707.3
69315435078,500,3,648,3492,2538.7
69315435079,500,2,1128,4550,2839.0
69315435080,500,6,924,4548,1889.7
69315435081,500,9,20,4844,2643.6
69384901935,500,3,2024,4860,3600.7
69384901936,500,6,468,4350,2180.7
69384901937,500,4,686,3786,2484.0
69384901938,500,4,960,4860,3278.5
69385681900,500,8,564,4352,2686.5
69385681901,500,1,462,462,462.0
69385681902,500,4,810,3260,2202.5
